sample_id,smiles,is_valid,is_unique,in_training_set
0,[*]CNC(=O)C(C[*])(CCC)C(=O)OC(F)(F)C(F)(F)F,True,True,False
1,[*]CCCCCNC(=O)c1ccc(-c2nnc(C(=O)OCCCCCCN3C(=O)c4ccc(C=C([*])C)cc4C3=O)cc2)cc1,True,True,False
2,[*]c1ccc(OCCCCCCCC(=O)Oc2ccc(C([*])(C)C)cc2C2=O)c(OCCO)c1-c1ccc(Cl)cc1,False,True,False
3,[*]CC([*])(C)C(=O)NCCCCOc1ccc(C=Cc2cccc(OCC(C)CC)c2)s1,True,True,False
4,[*]Sc1ccc(O[Si]([*])(C)CCCCCCc2ccc(Cc3ccc(O)cc3)cc2)c2ccc(C(F)(F)F)cc2)cc1,False,True,False
5,[*]C(=O)Oc1ccc2c(c1)CCCCC(=O)Nc1ccc([Si]([*])(OC)cc1)OC2=O,True,True,False
6,[*]CC([*])(C)C(=O)Oc1ccc(CCCCCCOc2ccccc2-c2ccc(OC)cc2)cc1,True,True,False
7,[*]CC([*])OCCCCCCP(=O)(OC)C(=O)OCC(C)CC,True,True,False
8,[*]CC(=O)Sc1cccc(N2C(=O)OCC(C)CC(C([*])=O)C2(C)C)c1,True,True,False
9,[*]CC1CC(C(=O)OC(=O)CCCCN(C)c2ccc(C(=O)Nc3ccc(O[*])cc3)c(C)c2)C1=O,True,True,False
10,[*]C#Cc1ccc(Oc2ccc(OC(=O)C(CCC)Oc3ccc([N+](=O)[O-])cc3)cc2)c([*])c1C,True,True,False
11,[*]CCCCCCCO[Si](C)(C)c1cccc(C(=O)Nc2ccc(OC([*])=O)cc2)c1,True,True,False
12,[*]c1ccc2c(c1)C(=[*])N(CCCCCC)CCOc1ccc(C=C)cc1,False,True,False
13,[*]C(=O)OCCCCCCS(=O)(=O)CCCOC([*])=C,True,True,False
14,[*]CCN([*])C(=O)c1ccc2cc(N2C(=O)c3ccc(OCC(C)(C)CC)cc3)ccc2c1,False,True,False
15,[*]C#Cc1ccc(CCCCCCOc2ccc(S(=O)(=O)c3ccc(OCCCC)cc3)cc2)c([*])n1,True,True,False
16,[*]CC([*])c1ccc(CN(C)C(=O)CCCCC(C#N)(OC)C(F)(F)F)cc1,True,True,False
17,[*]=Cc1ccc(NC(=S)c2ccc(CCCCC([*])=O)cc2)c(OC)c1,True,True,False
18,[*]CCCC/C=C(/[*])C[SiH](C)C,True,True,False
19,[*]CC([*])C(=O)OC(F)(F)CN(CCC)[Si](=O)OC,True,True,False
20,[*]CC([*])OC1CC(O)N(C(=O)c2ccc(S(=O)(=O)N(C)C)cc2)CC1,True,True,False
21,[*]C=Cc1ccc(COC(=O)c2ccc3c(c2)C(CCCCCC)OCCOc2ccc([*])cc2)o1,False,True,False
22,[*]CCCCCC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccccc3O[*])c(C#N)c2)cc1,True,True,False
23,[*]c1ccc(OCCOc2ccc(C(=O)c3ccc4c(c3)c3ccc([*])cc3)cc2)cc1,False,True,False
24,[*]CC([*])c1ccc(O)cc1S(=O)(=O)Oc1ccc(CC[N+](C)(C)C)cc1,True,True,False
25,[*]CC([*])(CC(=O)OCCCCCCC)CCOC(=O)C(=C=C=C)c1ccc(OCC(F)(F)F)cc1,True,True,False
26,[*]CCCCCCCCN1C(=O)c2ccc(/N=C/c3ccc(C(=O)O[*])cc3)cc2)cc1Br,False,True,False
27,[*]Cc1ccc(NC(=O)Oc2ccc(CCCCCCOc3ccc(/C=N/c4ccc(O[*])cc4)cc3)cc2)c(C#N)c1,True,True,False
28,[*]Oc1ccc(C(NC(=O)CCCCc2ccc(OC([*])=O)cc2)c2ccccc2C)cc1,True,True,False
29,[*]Cc1ccc(COC(=O)SN([*])c2ccc(CCC)cc2)cc1OC,True,True,False
30,[*]Oc1ccc(S(=O)(=O)C([*])c2ccc(C#N)cc2)cc1,True,True,False
31,[*]CC#CCCCOC(=O)C(C)N([*])OC,True,True,False
32,[*]CCCC(=O)OCC([*])c1cc(C(F)(F)F)ccc1[Si](=O)(O)C(F)(F)F,True,True,False
33,[*]C=CC(=O)c1ccc(O[Si](C)=O)cc1OCCO[*],True,True,False
34,[*]C(=O)N([*])CCCCCC(=O)N(c1ccc(OCCCC)c(Br)c1)C(C)C,True,True,False
35,[*]CCCCC[SH](=O)Nc1ccc(C=Cc2ccc(NCCCCS(=O)(=O)O[*])cc2-c2ccccc2)o1,True,True,False
36,[*]Cc1ccc(C2CCN(C(=O)c3ccc(OP(=O)O[Si]([*])=O)cc3Br)C2)cc1,True,True,False
37,[*]CCOC1CCN(CCCCCC)c2ccc(S([*])(=O)=O)cc2)CO1,False,True,False
38,[*]CC(C)COC(=O)CCCCCCCCC(=O)OCCCCOc1ccc(-c2nnc(C(=O)O[*])c2)o1,False,True,False
39,[*]CC([*])CCCCNC(=O)c1ccc(OCC=CCCC)cc1,True,True,False
40,[*]CC([*])(C)C(=O)OCC/C=C(\C)N1CC(=O)C1,True,True,False
41,[*]CCC([*])(CCCCCC)C(=O)OCCN1C(=O)c(Cl)c1O,True,True,False
42,[*]Cc1ccc(Sc2ccc(OCCO)cc2[*])cc1,True,True,False
43,[*]Oc1cc(C(=O)OCCCCCC)cc(C(=O)Nc2ccc([*])cc2)c1OC(C)C,True,True,False
44,[*]C=CC(c1ccccc1)c1ccc([N+]([*])(C)C)c(C)n1,True,True,False
45,[*]/C(=N/c1ccc(C(=O)O[*])c(SCCCCC(F)(F)F)c1)c1ccccc1,True,True,False
46,[*]CC(OC(=O)NCCCCCCNC(=O)Oc1ccc2c(OC)cc1)C(=O)OCCCCOC(=O)c1ccc(C3C(=O)OC4(C#N)O[*])COC32)cc1,False,True,False
47,[*]Nc1cccc(OCCN([*])c2ccc(OC(=O)c3ccc(-c4ccc(-c5ccc(OCCCCCC)cc5)cc4)cc3)cc2)c1,True,True,False
48,[*]CC([*])c1ccccc1CCCCCCCOC(=O)c1ccc(S(=O)(=O)CCCCO)cc1,True,True,False
49,[*]=Cc1cc(N(C)C(=O)OC)c(C([*])=O)c(CCCC)c1C,True,True,False
50,[*]OC([*])C(C)CC(=O)Oc1ccc(CNC(=O)c2ccc(-c3ccccc3)cc2)cc1,True,True,False
51,[*]/C=C(/[*])Cc1ccc(Cc2ccc(OCCCCCCC(=O)c3ccccc3)cc2)cc1,True,True,False
52,[*]NC(=O)C#CC(CCCCCCCCCCOC(=O)c1cc([*])cc(C(C)=O)c1)OCCC(C)[N+]=C/CCCC,True,True,False
53,[*]CC([*])(C)C1C(=O)OCc2ccc(-c3ccc(CCCCC(=O)Oc4ccc([N+](=O)[O-])cc4)cc3)cc2C1,True,True,False
54,[*]CCC(C[Si](C)(C)CNC(=O)c1ccc(-c2ccccc2)cc1)C(=O)NCC(=O)NC(=[*])CO,True,True,False
55,[*]CC(Cl)C(=O)OCC1CCCC1C(C)OC(=C[*])C,True,True,False
56,[*]CCOC(=O)c1ccc(C(=O)Nc2ccc(CCCCCOC(=O)c3ccc(O[*])cc3)cc2C)c(SC)c1,True,True,False
57,[*]C=C1CC(=O)N(c2ccc(OCCCCCCOc3ccc(CSCC)cc3)cc2)C1[*],True,True,False
58,[*]OCC[PH](=O)(Cc1ccc(C)cc1)C(=O)OCCCC([*])(C)CSC,True,True,False
59,[*]Oc1ccc(S(=O)c2ccc(Oc3ccc(C([*])=O)cc3)cc2)cc1,True,True,False
60,[*]=C([*])Oc1ccc(C(=O)C(Cl)(CF)CN)cc1,True,True,False
61,[*]CCC(=[*])CN1CCCCCCOC(=O)N(CC)C1,True,True,False
62,[*]CCOc1ccc(N2C(=O)c3ccc(C([*])=O)cc3OCCCCCCC)c2)cc1,False,True,False
63,[*]Oc1ccc(C(c2ccc(C=[*])cc2)C(C)CCCCC)cc1,True,True,False
64,[*]CCCCCCOC(=O)N1CC/C(=N\CCCCNC(=O)OCCC)C(=O)O[*])CC1,False,True,False
65,[*]C=Cc1ccc(Oc2cc(Br)c(/C=C/c3ccc([*])cc3)cc2OCCCC)s1,True,True,False
66,[*]CC([*])(C)C(=O)Oc1ccc(-n2on2-c2ccc(CN(CCCCCCC)C)cc2C(F)(F)F)c([N+](=O)[O-])c1,True,True,False
67,[*]C(=O)OCCCCCCCCNS(=O)(=O)c1ccc(C(=O)NCCOc2ccc([*])cc2)cc1,True,True,False
68,[*]CC([*])(C)CCCCCCCCOC(=O)c1ccc2c(CC(C)C)cccc2c1,True,True,False
69,[*]Oc1ccc(/C=N/N2C(=O)c3ccc(Oc4ccc(C([*])=O)cc4)cc3)C2=O)cc1,False,True,False
70,[*]C([*])C(C)=C/c1ccc(OC)c(C#CCCCC(C)C)c1,True,True,False
71,[*]/C=C/c1ccc(OCCCCCC(=O)N(C)Cc2ccc(C([*])=O)cc2C)c2ccc(CCCCCC)cc2c1,False,True,False
72,[*]Oc1ccc(CCCCCCCN2C(=O)C([*])(Oc3ccc(S(=O)(=O)O[Na])cc3)CC(C)CCCCCCC2)cc1C,True,True,False
73,[*]CC(=O)NCCCCCCNC(=O)c1ccc(C(O[*])C(=O)CCCCC)cc1,True,True,False
74,[*]CC(CCCCCCOc1ccc(Br)cc1)N(C)C(=O)OCCCC[*],True,True,False
75,[*]CCOCC(CCCCCCOC(=O)c1ccc(NCCCCCCC([*])=O)c(-c2ccc(CC)cc2)c1)COC,True,True,False
76,[*]CCc1cc(I)c(N2C(=O)c3ccc(OC)cc3c2)C(=O)N([*])C(F)(F)F)cc1C,False,True,False
77,[*]OC=CCOC(=O)c1ccc(C(C)(C)c2ccc(CO[*])cc2)cc1,True,True,False
78,[*]CC([*])C1CCCN(CCCCC)C(=O)CC1CCCCC1,False,True,False
79,[*]CCOc1ccc(S(=O)(=O)c2ccc(Oc3ccc(O)c(/C=N/c4ccc([*])cc4)c3)cc2)cc1,True,True,False
80,[*]OC(=O)c1ccc(NC(=O)OCC(C)(C)COc2ccc(C([*])=O)cc2)c(NC(=O)OC)c1,True,True,False
